S.No.,Movie Name,Year,Crew,IMDb
61, The Shining,-1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.37012176
62, WALL·E,-2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.36781091
63, Avengers: Infinity War,-2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.367392087
64, Sunset Blvd.,-1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.360986675
65, Mononoke-hime,-1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.353292879
66, Spider-Man: Into the Spider-Verse,-2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.353112382
67, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,-1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.352417516
68, Witness for the Prosecution,-1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.351688386
69, Oldeuboi,-2003,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",8.351589509
70, The Dark Knight Rises,-2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.334415384
71, Once Upon a Time in America,-1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.331655598
72, Avengers: Endgame,-2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.330304353
73, Aliens,-1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.324622747
74, Kimi no na wa.,-2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.319758723
75, Coco,-2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.314026838
76, American Beauty,-1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.309202179
77, Braveheart,-1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3034363
78, Das Boot,-1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.299754117
79, 3 Idiots,-2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.299013888
80, Toy Story,-1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.294878612
81, Tengoku to jigoku,-1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.292820514
82, Taare Zameen Par,-2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.289241655
83, Amadeus,-1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.289123995
84, Star Wars: Episode VI - Return of the Jedi,-1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.287650709
85, Reservoir Dogs,-1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.283454007
86, Inglourious Basterds,-2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.282676532
87, Good Will Hunting,-1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.278239568
88,1917,-2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.273765586
89, 2001: A Space Odyssey,-1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.272193939
90, Capharnaüm,-2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.268803153
91, Vertigo,-1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.268790217
92, Requiem for a Dream,-2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.268336795
93, M - Eine Stadt sucht einen Mörder,-1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.265193554
94, Dangal,-2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.26264349
95, Eternal Sunshine of the Spotless Mind,-2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.259718092
96, Citizen Kane,-1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.257298032
97, Jagten,-2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.25719009
98, Full Metal Jacket,-1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.250941938
99, Anand,-1971,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",8.249341193
100, Ladri di biciclette,-1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.249284785
101, North by Northwest,-1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.248173794
102, A Clockwork Orange,-1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.247703673
103, The Kid,-1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.247464741
104, Snatch,-2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.245898246
105, Singin' in the Rain,-1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.243667699
106, Scarface,-1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.243096851
107, Taxi Driver,-1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.240716528
108, Amélie,-2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.236151711
109, Lawrence of Arabia,-1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.23602719
110, Toy Story 3,-2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.234326594
111, The Sting,-1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.234066233
112, Ikiru,-1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.233158408
113, Metropolis,-1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.23085436
114, Jodaeiye Nader az Simin,-2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.229685241
115, Per qualche dollaro in più,-1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.228990222
116, The Apartment,-1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.222253519
117, Double Indemnity,-1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.222132653
118, Incendies,-2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.221583713
119, To Kill a Mockingbird,-1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.216706058
120, Indiana Jones and the Last Crusade,-1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.211987665
121, Up,-2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.211251442
122, L.A. Confidential,-1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.203585759
123, Heat,-1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.201564346
124, Monty Python and the Holy Grail,-1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.198641393
125, Idi i smotri,-1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.195815108
126, Die Hard,-1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.194368029
127, Rashômon,-1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.19288468
128, Yôjinbô,-1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.191025785
129, Batman Begins,-2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.190414411
130, Green Book,-2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.187110352
131, Der Untergang,-2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.185410855
132, Bacheha-Ye aseman,-1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.184758309
133, Unforgiven,-1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.183072495
134, Some Like It Hot,-1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.176121852
135, Ran,-1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.173876112
136, Hauru no ugoku shiro,-2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.168359107
137, The Great Escape,-1963,"John Sturges (dir.), Steve McQueen, James Garner",8.162070348
138, A Beautiful Mind,-2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.16139032
